Sample ID,Side/ Trap #,Watershed,Date,Dipteran_Large,Terrestrial_Large,Caddisfly_Large,Mayfly_Large,Stonefly_Large,Other_Large,Dipteran_Small,Terrestrial_Small,Caddisfly_Small,Other_Small,,month,day, year
1,,5,5/6/2019,20,,,,,2,16,,,1,,5,6,2019
2,,5,5/6/2019,12,,,,,,6,,,1,,5,6,2019
3,,5,5/6/2019,5,,,,,,16,,,1,,5,6,2019
4,,5,5/6/2019,6,,,,,1,5,,,,,5,6,2019
5,,5,5/6/2019,1,,,,,,9,,,,,5,6,2019
6,,5,5/6/2019,8,1,,,,,18,2,,,,5,6,2019
7,,5,5/6/2019,8,,,,,,32,,,4,,5,6,2019
8,,5,5/6/2019,2,,,,,,15,1,,1,,5,6,2019
9,,5,5/6/2019,3,1,,,,,19,,,2,,5,6,2019
10,,5,5/6/2019,2,,,,,,,,,1,,5,6,2019
1,,5,5/13/2019,,1,,,,,25,,,3,,5,13,2019
2,,5,5/13/2019,1,,,,,1,78,,,4,,5,13,2019
3,,5,5/13/2019,2,,,,,1,85,,,5,,5,13,2019
4,,5,5/13/2019,,,,,,,26,,,2,,5,13,2019
5,,5,5/13/2019,,,,,,3,65,,,4,,5,13,2019
6,,5,5/13/2019,,,,,,1,11,,,6,,5,13,2019
7,,5,5/13/2019,,,,,,,27,,,5,,5,13,2019
8,,5,5/13/2019,2,,,,,1,83,,,5,,5,13,2019
9,,5,5/13/2019,1,,,,,,67,,,1,,5,13,2019
10,,5,5/13/2019,,,,,,,12,,,3,,5,13,2019
1,,5,5/20/2019,,,,,,,76,,,5,,5,20,2019
2,,5,5/20/2019,4,,,,,,104,,,8,,5,20,2019
3,,5,5/20/2019,12,,,,,2,112,,,4,,5,20,2019
4,,5,5/20/2019,2,,,,,1,79,,,5,,5,20,2019
5,,5,5/20/2019,8,,,,,,117,,,6,,5,20,2019
6,,5,5/20/2019,13,,,,,,118,,,7,,5,20,2019
7,,5,5/20/2019,12,,,,,1,61,,,8,,5,20,2019
8,,5,5/20/2019,21,,,,,,107,,,8,,5,20,2019
9,,5,5/20/2019,11,,,,,1,126,,,6,,5,20,2019
10,,5,5/20/2019,,,,,,,49,,,14,,5,20,2019
1,,5,5/28/2019,5,,,,,1,278,,,18,,5,28,2019
2,,5,5/28/2019,3,,,,,,120,,,8,,5,28,2019
3,,5,5/28/2019,3,,,,1,3,,,,,,5,28,2019
4,,5,5/28/2019,2,,,,,1,170,,,14,,5,28,2019
5,,5,5/28/2019,3,,,,,1,263,,,17,,5,28,2019
6,,5,5/28/2019,1,1,,,,,135,,,8,,5,28,2019
7,,5,5/28/2019,5,,,,,1,242,,,11,,5,28,2019
8,,5,5/28/2019,5,,,,,,282,,,5,,5,28,2019
9,,5,5/28/2019,7,,,,,1,140,,,4,,5,28,2019
10,,5,5/28/2019,9,1,,,,1,271,,,6,,5,28,2019
1,,5,4/8/2019,1,,,,,,1,,,,,4,8,2019
2,,5,4/8/2019,,,,,,,1,,,1,,4,8,2019
ST190101,,5,4/15/2019,,,,,,,2,,,,,4,15,2019
ST190101,,5,4/15/2019,,,,,,,,,,,,4,15,2019
ST190141,,5,4/22/2019,,,,,,,1,,,,,4,22,2019
ST190141,,5,4/22/2019,,,,,,,1,,,,,4,22,2019
ST190181,,5,4/29/2019,4,,,,,1,10,,,3,,4,29,2019
ST190181,,5,4/29/2019,4,,,,,,3,,,3,,4,29,2019
ST190182,,5,4/29/2019,3,,,,,,5,,,2,,4,29,2019
ST190182,,5,4/29/2019,5,,,,,,3,,,1,,4,29,2019
ST190183,,5,4/29/2019,1,,,,,1,5,,,,,4,29,2019
ST190183,,5,4/29/2019,1,,,,,,10,,,,,4,29,2019
ST190184,,5,4/29/2019,3,,,,,1,10,,,2,,4,29,2019
ST190184,,5,4/29/2019,2,1,,,,,4,,,,,4,29,2019
ST190185,,5,4/29/2019,1,,,,,,11,,,1,,4,29,2019
ST190185,,5,4/29/2019,3,,,,,,31,,,6,,4,29,2019
ST190461,,5,6/17/2019,,1,,,,,22,3,,,,6,17,2019
ST190461,,5,6/17/2019,,1,,,4,,38,3,,,,6,17,2019
ST190462,,5,6/17/2019,1,1,,,1,1,38,4,,1,,6,17,2019
