sample_id,side_or_trapnum,watershed,date,dipteran_large,terrestrial_large,caddisfly_large,mayfly_large,stonefly_large,other_large,dipteran_small,terrestrial_small,caddisfly_small,other_small
NA,1,2,2018-08-06,1,NA,NA,NA,NA,NA,2,NA,NA,NA
NA,1,2,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2,2,2018-08-06,1,2,NA,NA,NA,NA,5,4,NA,9
NA,2,2,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,2,2018-08-06,NA,1,NA,NA,1,NA,5,2,NA,4
NA,3,2,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4,2,2018-08-06,3,NA,NA,NA,2,3,13,NA,NA,10
NA,4,2,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5,2,2018-08-06,1,NA,NA,NA,2,1,7,3,NA,5
NA,5,2,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,6,2,2018-08-06,3,1,NA,NA,5,1,11,NA,NA,3
NA,6,2,2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,A,2,2019-04-08,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,A,2,2019-04-08,1,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,B,2,2019-04-08,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,B,2,2019-04-08,2,1,NA,NA,NA,NA,NA,NA,NA,NA
ST190476,A,HBK,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST190476,A,HBK,2019-06-17,1,5,NA,1,NA,NA,39,1,NA,NA
ST190477,A,HBK,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST190477,A,HBK,2019-06-17,8,8,NA,NA,NA,1,20,NA,1,3
ST190478,A,HBK,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST190478,A,HBK,2019-06-17,4,4,NA,NA,2,NA,10,NA,NA,4
ST190479,A,HBK,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
