sample_id,side_or_trapnum,watershed,date,dipteran_large,terrestrial_large,caddisfly_large,mayfly_large,stonefly_large,other_large,dipteran_small,terrestrial_small,caddisfly_small,other_small,dup
NA,1,1,2018-05-14,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,10,1,2018-05-14,NA,NA,NA,NA,NA,NA,47,15,NA,NA,0
NA,2,1,2018-05-14,NA,7,NA,NA,NA,NA,48,28,NA,NA,0
NA,3,1,2018-05-14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,4,1,2018-05-14,NA,3,NA,NA,NA,NA,45,15,NA,NA,0
NA,5,1,2018-05-14,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,6,1,2018-05-14,1,3,NA,NA,1,NA,NA,NA,NA,NA,0
NA,7,1,2018-05-14,NA,2,NA,NA,NA,NA,54,34,NA,NA,0
NA,8,1,2018-05-14,4,3,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,9,1,2018-05-14,2,3,1,NA,NA,NA,NA,NA,NA,NA,0
NA,1,1,2018-05-21,2,1,1,NA,NA,NA,85,4,NA,NA,1
NA,1,1,2018-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,2,1,2018-05-21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1
NA,2,1,2018-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,5,1,2018-05-21,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,5,1,2018-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,6,1,2018-05-21,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,6,1,2018-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,7,1,2018-05-21,1,4,NA,NA,2,NA,NA,NA,NA,NA,1
NA,7,1,2018-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,8,1,2018-05-21,1,6,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,8,1,2018-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,1,1,2018-05-29,4,6,1,NA,1,NA,NA,NA,NA,NA,0
NA,10,1,2018-05-29,1,4,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,2,1,2018-05-29,NA,1,2,NA,2,NA,NA,NA,NA,NA,0
NA,3,1,2018-05-29,4,5,NA,NA,2,NA,NA,NA,NA,NA,0
NA,4,1,2018-05-29,2,NA,NA,NA,2,NA,25,2,NA,NA,0
NA,5,1,2018-05-29,3,3,1,NA,NA,NA,70,3,NA,NA,0
NA,6,1,2018-05-29,1,2,NA,NA,4,NA,44,5,NA,NA,0
NA,7,1,2018-05-29,2,7,NA,NA,1,NA,NA,NA,NA,NA,0
NA,8,1,2018-05-29,1,3,4,NA,1,NA,NA,NA,NA,NA,0
NA,9,1,2018-05-29,NA,6,NA,NA,1,NA,41,5,NA,NA,0
NA,10,1,2018-06-18,1,3,NA,NA,1,NA,19,9,NA,NA,0
NA,2,1,2018-06-18,1,14,NA,NA,1,NA,41,15,NA,NA,1
NA,2,1,2018-06-18,1,14,NA,NA,1,NA,41,15,1,NA,1
NA,3,1,2018-06-18,2,10,1,NA,1,NA,NA,NA,NA,NA,0
NA,4,1,2018-06-18,2,5,NA,NA,1,NA,24,17,NA,NA,0
NA,5,1,2018-06-18,2,9,1,NA,2,NA,NA,NA,NA,NA,0
NA,6,1,2018-06-18,3,6,NA,NA,2,NA,NA,NA,NA,NA,0
NA,7,1,2018-06-18,NA,9,NA,NA,1,NA,NA,NA,NA,NA,0
NA,8,1,2018-06-18,1,8,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,9,1,2018-06-18,1,5,NA,NA,2,NA,8,8,NA,NA,0
NA,1,1,2018-06-25,NA,4,3,NA,NA,NA,8,15,NA,NA,0
NA,10,1,2018-06-25,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,2,1,2018-06-25,1,9,2,NA,4,NA,NA,NA,NA,NA,0
NA,3,1,2018-06-25,3,7,1,NA,1,NA,NA,NA,NA,NA,0
NA,4,1,2018-06-25,NA,2,1,NA,NA,NA,12,12,NA,NA,0
NA,5,1,2018-06-25,2,8,NA,NA,1,NA,49,10,NA,NA,0
NA,6,1,2018-06-25,2,7,3,NA,3,NA,NA,NA,NA,NA,0
NA,7,1,2018-06-25,2,7,NA,NA,NA,NA,43,10,NA,NA,0
NA,8,1,2018-06-25,NA,2,NA,NA,2,NA,47,8,NA,NA,0
NA,9,1,2018-06-25,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190041,A,1,2019-04-01,NA,3,NA,NA,NA,NA,1,NA,NA,NA,0
ST190041,B,1,2019-04-01,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0
ST190081,A,1,2019-04-15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190081,B,1,2019-04-15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190121,A,1,2019-04-22,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190121,B,1,2019-04-22,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0
ST190161,A,1,2019-04-29,4,NA,NA,NA,NA,NA,4,NA,NA,5,0
ST190161,B,1,2019-04-29,2,NA,NA,NA,NA,1,2,1,NA,1,0
ST190162,A,1,2019-04-29,NA,NA,NA,NA,NA,NA,6,NA,NA,4,0
ST190162,B,1,2019-04-29,1,NA,NA,NA,NA,NA,11,NA,NA,NA,0
ST190163,A,1,2019-04-29,2,NA,NA,NA,NA,NA,7,NA,NA,1,0
ST190163,B,1,2019-04-29,3,NA,NA,NA,NA,NA,7,NA,NA,NA,0
ST190164,A,1,2019-04-29,2,NA,NA,NA,1,NA,6,NA,NA,3,0
ST190164,B,1,2019-04-29,NA,NA,NA,NA,NA,NA,3,NA,NA,5,0
ST190165,A,1,2019-04-29,NA,NA,NA,NA,NA,1,2,NA,NA,NA,0
ST190165,B,1,2019-04-29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190201,A,1,2019-05-06,6,1,NA,NA,NA,NA,12,NA,NA,1,0
ST190201,B,1,2019-05-06,3,NA,NA,NA,NA,NA,10,NA,NA,NA,0
ST190202,A,1,2019-05-06,3,NA,NA,NA,NA,NA,8,NA,NA,1,0
ST190202,B,1,2019-05-06,5,1,NA,NA,NA,NA,16,NA,NA,NA,0
ST190203,A,1,2019-05-06,3,2,NA,NA,NA,NA,25,NA,NA,NA,0
ST190203,B,1,2019-05-06,2,NA,NA,NA,NA,NA,33,NA,NA,1,0
ST190204,A,1,2019-05-06,NA,NA,NA,NA,NA,NA,11,NA,NA,2,0
ST190204,B,1,2019-05-06,2,NA,NA,NA,NA,1,6,NA,NA,NA,0
ST190205,A,1,2019-05-06,4,NA,NA,NA,NA,NA,14,NA,NA,1,0
ST190205,B,1,2019-05-06,2,NA,NA,NA,NA,2,15,NA,NA,1,0
ST190241,A,1,2019-05-13,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,0
ST190241,B,1,2019-05-13,NA,NA,NA,NA,NA,NA,38,NA,NA,2,0
ST190242,A,1,2019-05-13,NA,NA,NA,NA,NA,NA,94,NA,NA,4,0
ST190242,B,1,2019-05-13,10,NA,NA,NA,NA,1,159,NA,NA,4,0
ST190243,A,1,2019-05-13,NA,1,NA,NA,NA,1,55,NA,NA,1,0
ST190243,B,1,2019-05-13,NA,NA,NA,NA,NA,2,67,NA,NA,1,0
ST190244,A,1,2019-05-13,1,NA,NA,NA,NA,1,47,NA,NA,2,0
ST190244,B,1,2019-05-13,3,NA,NA,NA,NA,2,32,NA,NA,2,0
ST190245,A,1,2019-05-13,4,1,NA,NA,1,1,94,NA,NA,1,0
ST190245,B,1,2019-05-13,8,NA,NA,NA,NA,NA,59,NA,NA,2,0
ST190281,A,1,2019-05-20,3,NA,NA,NA,NA,1,108,NA,NA,8,0
ST190281,B,1,2019-05-20,NA,NA,NA,NA,NA,1,78,NA,NA,4,0
ST190282,A,1,2019-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190282,B,1,2019-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190283,A,1,2019-05-20,6,NA,NA,NA,NA,3,67,NA,NA,2,0
ST190283,B,1,2019-05-20,3,NA,NA,NA,NA,NA,100,NA,NA,5,0
ST190284,A,1,2019-05-20,1,NA,NA,NA,NA,1,156,NA,NA,14,0
ST190284,B,1,2019-05-20,3,NA,NA,NA,NA,1,188,NA,NA,10,0
ST190285,A,1,2019-05-20,1,NA,NA,NA,NA,1,169,NA,NA,3,0
ST190285,B,1,2019-05-20,3,NA,NA,NA,NA,1,78,NA,NA,1,0
ST190321,A,1,2019-05-28,5,NA,NA,NA,NA,1,27,NA,NA,3,0
ST190321,B,1,2019-05-28,1,NA,NA,NA,NA,1,142,NA,NA,5,0
ST190322,A,1,2019-05-28,6,NA,NA,NA,NA,2,174,NA,NA,11,0
ST190322,B,1,2019-05-28,4,NA,NA,NA,NA,4,165,NA,NA,8,0
ST190323,A,1,2019-05-28,1,NA,NA,NA,2,2,211,NA,NA,8,0
ST190323,B,1,2019-05-28,7,NA,NA,NA,2,1,219,NA,NA,3,0
ST190324,A,1,2019-05-28,4,3,NA,NA,1,1,268,NA,NA,2,0
ST190324,B,1,2019-05-28,5,NA,NA,NA,NA,NA,66,NA,NA,NA,0
ST190325,A,1,2019-05-28,7,NA,NA,NA,3,NA,280,NA,NA,7,0
ST190325,B,1,2019-05-28,12,NA,NA,NA,NA,NA,145,NA,NA,8,0
ST190361,A,1,2019-06-02,1,NA,NA,NA,1,NA,34,NA,NA,1,0
ST190361,B,1,2019-06-02,1,NA,1,NA,1,NA,38,NA,NA,1,0
ST190362,A,1,2019-06-02,NA,NA,NA,NA,3,NA,33,NA,NA,3,0
ST190362,B,1,2019-06-02,1,NA,NA,NA,NA,1,41,NA,NA,6,0
ST190363,A,1,2019-06-02,1,NA,NA,NA,NA,NA,27,NA,NA,NA,0
ST190363,B,1,2019-06-02,2,NA,NA,NA,NA,NA,24,NA,NA,1,0
ST190364,A,1,2019-06-02,6,NA,NA,NA,NA,NA,52,NA,NA,NA,0
ST190364,B,1,2019-06-02,1,NA,NA,NA,NA,NA,31,NA,NA,1,0
ST190365,A,1,2019-06-02,2,1,NA,NA,NA,NA,26,NA,NA,NA,0
ST190365,B,1,2019-06-02,NA,1,NA,NA,NA,NA,39,NA,NA,1,0
ST190401,A,1,2019-06-10,NA,4,NA,NA,1,1,80,NA,NA,1,0
ST190401,B,1,2019-06-10,2,5,NA,NA,1,1,46,NA,NA,1,0
ST190402,A,1,2019-06-10,6,NA,NA,NA,2,1,53,NA,NA,4,0
ST190402,B,1,2019-06-10,9,NA,NA,NA,2,2,35,NA,NA,5,0
ST190403,A,1,2019-06-10,1,1,NA,NA,NA,NA,52,NA,NA,3,0
ST190403,B,1,2019-06-10,3,NA,NA,NA,5,NA,40,NA,NA,2,0
ST190404,A,1,2019-06-10,4,2,NA,NA,NA,2,46,NA,NA,4,0
ST190404,B,1,2019-06-10,3,NA,NA,NA,NA,1,63,1,NA,2,0
ST190405,A,1,2019-06-10,4,NA,NA,NA,NA,1,92,NA,NA,7,0
ST190405,B,1,2019-06-10,NA,NA,NA,NA,1,2,89,NA,NA,1,0
ST190441,A,1,2019-06-17,NA,NA,1,NA,2,1,21,2,NA,NA,0
ST190441,B,1,2019-06-17,1,NA,NA,NA,1,NA,20,2,NA,NA,0
ST190442,A,1,2019-06-17,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0
ST190442,B,1,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ST190443,A,1,2019-06-17,1,NA,NA,NA,1,NA,19,NA,NA,NA,0
ST190443,B,1,2019-06-17,NA,NA,NA,NA,3,NA,23,2,NA,1,0
ST190444,A,1,2019-06-17,NA,NA,1,NA,1,NA,25,1,NA,NA,0
ST190444,B,1,2019-06-17,NA,1,NA,NA,1,2,18,1,NA,NA,0
ST190445,A,1,2019-06-17,1,2,NA,NA,1,NA,28,5,NA,NA,0
ST190445,B,1,2019-06-17,NA,NA,NA,NA,1,NA,19,NA,NA,NA,0
ST190481,A,1,2019-06-24,NA,2,NA,NA,NA,1,25,3,NA,NA,0
ST190481,B,1,2019-06-24,NA,2,1,NA,2,NA,17,NA,1,1,0
ST190482,A,1,2019-06-24,1,NA,NA,NA,3,2,47,1,NA,3,0
ST190482,B,1,2019-06-24,NA,1,NA,NA,1,5,27,1,NA,NA,0
ST190483,A,1,2019-06-24,NA,1,NA,NA,1,1,57,2,NA,NA,0
ST190483,B,1,2019-06-24,1,NA,1,NA,NA,3,27,1,NA,NA,0
ST190484,A,1,2019-06-24,NA,3,NA,NA,3,3,33,2,NA,NA,0
ST190484,B,1,2019-06-24,NA,2,NA,NA,1,NA,17,NA,NA,NA,0
ST190485,A,1,2019-06-24,2,NA,3,NA,NA,1,56,NA,NA,NA,0
ST190485,B,1,2019-06-24,2,NA,NA,NA,NA,3,44,NA,NA,NA,0
ST190521,A,1,2019-07-01,1,NA,1,NA,NA,1,17,NA,NA,NA,0
ST190521,B,1,2019-07-01,NA,2,NA,NA,NA,2,26,1,NA,NA,0
ST190522,A,1,2019-07-01,2,NA,2,NA,NA,2,25,2,NA,NA,0
ST190522,B,1,2019-07-01,1,NA,1,NA,NA,1,47,1,NA,2,0
ST190523,A,1,2019-07-01,NA,1,NA,NA,1,1,35,2,NA,1,0
ST190523,B,1,2019-07-01,NA,1,2,NA,NA,1,31,1,NA,NA,0
ST190524,A,1,2019-07-01,NA,4,2,NA,2,1,22,6,NA,3,0
ST190524,B,1,2019-07-01,4,5,NA,NA,2,2,40,13,NA,1,0
ST190525,A,1,2019-07-01,NA,2,1,NA,1,1,28,NA,NA,NA,0
ST190525,B,1,2019-07-01,1,NA,NA,NA,NA,3,56,1,NA,2,0
ST190561,A,1,2019-07-08,2,1,NA,NA,2,2,35,1,NA,1,0
ST190561,B,1,2019-07-08,1,NA,1,NA,1,1,38,4,NA,7,0
ST190562,A,1,2019-07-08,1,NA,1,NA,1,NA,22,1,NA,6,0
ST190562,B,1,2019-07-08,1,NA,NA,NA,NA,2,22,1,NA,8,0
ST190563,A,1,2019-07-08,NA,1,NA,NA,1,2,20,2,NA,3,0
ST190563,B,1,2019-07-08,3,2,1,NA,NA,1,45,2,1,6,0
ST190564,A,1,2019-07-08,NA,2,NA,NA,NA,1,18,1,2,2,0
ST190564,B,1,2019-07-08,1,1,NA,NA,NA,1,19,3,NA,4,0
ST190565,A,1,2019-07-08,NA,2,1,NA,1,2,30,3,NA,7,0
ST190565,B,1,2019-07-08,1,2,NA,NA,NA,2,26,NA,NA,5,0
ST190601,A,1,2019-07-15,4,NA,1,NA,NA,3,22,4,NA,7,0
ST190601,B,1,2019-07-15,NA,2,NA,NA,NA,1,12,1,NA,2,0
ST190602,A,1,2019-07-15,4,3,NA,NA,1,NA,29,2,NA,6,0
ST190602,B,1,2019-07-15,NA,NA,NA,NA,NA,1,15,1,NA,5,0
ST190603,A,1,2019-07-15,1,1,NA,NA,NA,1,13,2,NA,3,0
ST190603,B,1,2019-07-15,6,NA,1,NA,NA,NA,9,3,NA,4,0
ST190604,A,1,2019-07-15,1,1,NA,NA,NA,3,18,NA,NA,6,0
ST190604,B,1,2019-07-15,4,1,2,NA,1,1,23,1,NA,6,0
ST190605,A,1,2019-07-15,2,NA,NA,NA,NA,3,15,NA,NA,8,0
ST190605,B,1,2019-07-15,4,1,NA,NA,NA,NA,13,2,NA,11,0
ST190641,A,1,2019-07-22,2,4,1,NA,2,3,8,1,NA,2,0
ST190641,B,1,2019-07-22,NA,1,NA,NA,NA,1,12,3,NA,5,0
ST190642,A,1,2019-07-22,2,1,1,NA,NA,NA,13,1,NA,4,0
ST190642,B,1,2019-07-22,3,NA,NA,NA,NA,NA,9,NA,NA,3,0
ST190643,A,1,2019-07-22,NA,1,NA,NA,NA,NA,11,2,NA,3,0
ST190643,B,1,2019-07-22,NA,NA,NA,NA,NA,NA,17,2,1,2,0
ST190644,A,1,2019-07-22,NA,NA,NA,NA,NA,1,9,2,NA,2,0
ST190644,B,1,2019-07-22,1,1,NA,NA,NA,3,7,NA,NA,2,0
ST190645,A,1,2019-07-22,NA,NA,1,NA,NA,6,16,1,NA,NA,0
ST190645,B,1,2019-07-22,1,NA,NA,NA,NA,2,10,1,NA,NA,0
