side_or_trapnum,watershed,date,dipteran_large,terrestrial_large,caddisfly_large,mayfly_large,stonefly_large,other_large,dipteran_small,terrestrial_small,caddisfly_small,other_small
1,1,2018-06-04,1,NA,NA,NA,NA,NA,19,1,NA,7
1,1,2018-06-11,1,NA,NA,NA,NA,NA,19,NA,NA,9
1,1,2018-06-18,NA,NA,NA,NA,NA,1,20,NA,NA,14
1,1,2018-07-02,NA,NA,NA,NA,NA,1,39,4,NA,15
1,1,2018-07-09,1,1,NA,NA,NA,7,32,2,NA,15
1,1,2018-07-16,6,NA,NA,NA,NA,3,17,3,NA,7
1,1,2018-07-23,2,1,NA,NA,NA,4,13,NA,NA,22
1,1,2018-07-30,3,NA,NA,NA,NA,1,10,1,NA,2
1,1,2018-08-06,NA,NA,NA,NA,NA,NA,8,1,NA,2
1,1,2018-08-13,NA,NA,NA,NA,1,2,5,2,NA,4
1,1,2018-08-20,NA,NA,NA,NA,NA,NA,7,1,NA,NA
1,1,2018-08-27,NA,NA,NA,NA,NA,NA,6,1,NA,NA
1,1,2018-09-04,1,NA,NA,NA,1,1,6,4,NA,NA
1,1,2018-09-10,NA,NA,NA,NA,NA,2,3,1,NA,NA
1,1,2018-09-17,NA,NA,NA,NA,NA,NA,2,3,NA,1
1,1,2018-09-24,NA,NA,1,NA,NA,NA,4,1,NA,NA
1,1,2018-10-01,NA,NA,NA,NA,NA,NA,7,2,NA,3
1,1,2018-10-08,NA,NA,NA,NA,NA,NA,8,1,NA,2
1,1,2018-10-15,NA,NA,NA,NA,NA,NA,15,2,NA,5
1,1,2018-10-22,1,NA,NA,NA,NA,NA,3,NA,NA,1
1,1,2018-10-29,NA,NA,NA,NA,NA,NA,1,NA,NA,1
1,1,2018-11-05,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
1,1,2018-11-12,1,NA,NA,NA,NA,NA,8,1,NA,NA
10,1,2018-05-21,1,2,NA,NA,NA,1,37,NA,NA,NA
10,1,2018-06-04,NA,NA,NA,NA,NA,1,33,NA,NA,9
10,1,2018-06-11,NA,NA,NA,NA,NA,NA,24,2,NA,9
10,1,2018-07-09,1,1,NA,NA,NA,2,20,3,NA,7
10,1,2018-07-16,NA,NA,NA,NA,NA,1,10,NA,NA,2
10,1,2018-07-23,1,1,NA,NA,NA,1,23,2,NA,3
10,1,2018-07-30,1,NA,NA,NA,NA,NA,10,5,NA,5
10,1,2018-08-06,NA,NA,NA,NA,NA,1,4,3,NA,6
10,1,2018-08-13,2,NA,NA,NA,NA,1,6,NA,NA,NA
