sample_id,side_or_trapnum,watershed,date,dipteran_large,terrestrial_large,caddisfly_large,mayfly_large,stonefly_large,other_large,dipteran_small,terrestrial_small,caddisfly_small,other_small
1,A,1,2019-04-08,1,NA,NA,NA,NA,NA,1,NA,NA,NA
2,B,1,2019-04-08,1,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,A,2,2019-04-08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,B,2,2019-04-08,3,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,A,2,2019-04-08,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,A,2,2019-04-08,1,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,B,2,2019-04-08,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,B,2,2019-04-08,2,1,NA,NA,NA,NA,NA,NA,NA,NA
ST190886,10,2,2019-09-03,5,2,2,NA,NA,NA,16,1,NA,NA
ST190886,9,2,2019-09-03,1,2,NA,NA,NA,NA,13,NA,NA,NA
ST190887,7,2,2019-09-03,12,3,4,NA,NA,NA,12,NA,NA,NA
ST190888,5,2,2019-09-03,9,1,NA,NA,1,NA,12,NA,NA,NA
ST190888,6,2,2019-09-03,9,1,NA,NA,NA,1,9,NA,NA,NA
ST190889,1,2,2019-09-03,5,2,NA,NA,NA,NA,18,NA,NA,NA
ST190889,2,2,2019-09-03,9,2,NA,NA,1,NA,11,NA,NA,NA
ST190890,3,2,2019-09-03,6,1,3,NA,NA,NA,2,NA,NA,NA
ST190890,4,2,2019-09-03,11,1,NA,NA,3,NA,4,NA,NA,NA
ST980887,8,2,2019-09-03,5,NA,1,NA,NA,NA,9,NA,NA,NA
ST190926,1,2,2019-09-09,NA,NA,NA,NA,NA,NA,18,NA,NA,2
ST190926,2,2,2019-09-09,NA,NA,NA,NA,NA,NA,14,NA,NA,1
ST190927,3,2,2019-09-09,1,NA,NA,NA,1,NA,8,NA,NA,2
