sample_id,side_or_trapnum,watershed,date,dipteran_large,terrestrial_large,caddisfly_large,mayfly_large,stonefly_large,other_large,dipteran_small,terrestrial_small,caddisfly_small,other_small
ST200911,A,9,2020-08-17,2,2,0,0,3,1,1,2,0,8
ST200911,B,9,2020-08-17,0,4,0,0,2,0,9,4,0,25
ST200912,A,9,2020-08-17,2,4,0,0,1,2,10,1,0,19
ST200912,B,9,2020-08-17,1,1,0,0,1,0,9,1,0,21
ST200913,A,9,2020-08-17,0,8,0,0,2,2,11,1,0,8
ST200913,B,9,2020-08-17,1,3,0,0,4,3,9,1,0,6
ST200914,A,9,2020-08-17,7,1,0,0,5,0,9,7,0,4
ST200914,B,9,2020-08-17,2,5,0,0,0,2,8,5,0,10
ST200915,A,9,2020-08-17,0,0,0,0,0,0,8,1,0,16
ST200915,B,9,2020-08-17,3,2,1,0,0,0,13,0,0,17
ST200951,A,9,2020-08-24,2,1,0,0,1,0,8,5,0,12
ST200951,B,9,2020-08-24,0,1,0,0,0,0,14,0,0,18
ST200952,A,9,2020-08-24,0,3,0,0,0,0,5,5,0,8
ST200952,B,9,2020-08-24,1,4,0,0,0,0,19,1,0,9
