sample_id,side_or_trapnum,watershed,date,dipteran_large,terrestrial_large,caddisfly_large,mayfly_large,stonefly_large,other_large,dipteran_small,terrestrial_small,caddisfly_small,other_small
ST200916,A,1,2020-08-17,2,NA,NA,NA,NA,1,17,15,NA,17
ST200916,B,1,2020-08-17,NA,NA,NA,NA,1,1,16,NA,NA,19
ST200917,A,1,2020-08-17,NA,NA,1,NA,1,NA,8,NA,NA,26
ST200917,B,1,2020-08-17,NA,NA,1,,NA,NA,9,1,NA,9
ST200918,A,1,2020-08-17,NA,NA,NA,NA,NA,NA,8,1,NA,7
ST200918,B,1,2020-08-17,1,NA,2,NA,NA,NA,12,NA,NA,10
ST200919,A,1,2020-08-17,1,3,NA,NA,NA,NA,13,2,NA,10
ST200919,B,1,2020-08-17,1,2,1,NA,NA,NA,8,NA,NA,7
ST200920,A,1,2020-08-17,1,NA,NA,NA,NA,NA,5,NA,NA,16
ST200920,B,1,2020-08-17,NA,NA,1,NA,NA,NA,10,1,NA,12
ST200956,A,1,2020-08-24,NA,NA,NA,NA,NA,NA,15,1,NA,14
ST200956,B,1,2020-08-24,2,NA,NA,NA,NA,NA,9,1,NA,6
ST200957,A,1,2020-08-24,NA,NA,NA,NA,NA,NA,14,NA,NA,9
ST200957,B,1,2020-08-24,NA,NA,NA,NA,NA,NA,9,NA,NA,10
ST200958,A,1,2020-08-24,NA,NA,NA,NA,NA,NA,6,NA,NA,8
ST200958,B,1,2020-08-24,NA,NA,NA,NA,NA,NA,13,NA,NA,8
ST200959,A,1,2020-08-24,NA,NA,NA,NA,NA,NA,10,NA,NA,8
ST200959,B,1,2020-08-24,NA,NA,1,NA,NA,NA,6,NA,NA,7
ST200960,A,1,2020-08-24,NA,NA,NA,NA,NA,NA,6,NA,NA,11
ST200960,B,1,2020-08-24,NA,NA,NA,NA,NA,NA,9,NA,NA,3
ST200996,A,1,2020-08-31,NA,1,1,NA,NA,NA,17,NA,NA,7
ST200996,B,1,2020-08-31,1,1,1,NA,NA,1,20,1,NA,6
ST200997,A,1,2020-08-31,NA,NA,NA,NA,NA,NA,34,NA,NA,10
ST200997,B,1,2020-08-31,NA,NA,NA,NA,NA,NA,12,NA,NA,6
ST200998,A,1,2020-08-31,1,NA,NA,NA,NA,1,7,NA,NA,1
ST200998,B,1,2020-08-31,NA,NA,1,NA,NA,NA,18,NA,NA,7
ST200999,A,1,2020-08-31,1,NA,NA,NA,NA,NA,13,NA,NA,8
ST200999,B,1,2020-08-31,NA,NA,3,NA,NA,NA,8,1,NA,7
ST201000,A,1,2020-08-31,NA,NA,NA,NA,NA,NA,14,NA,NA,7
ST201000,B,1,2020-08-31,NA,NA,NA,NA,NA,NA,11,NA,NA,16
ST201036,A,1,2020-09-08,NA,NA,1,NA,1,NA,39,NA,NA,15
ST201036,B,1,2020-09-08,1,NA,NA,NA,NA,NA,23,NA,NA,13
ST201037,A,1,2020-09-08,NA,NA,NA,NA,NA,NA,25,NA,NA,9
ST201037,B,1,2020-09-08,1,1,NA,NA,NA,NA,14,1,NA,5
ST201038,A,1,2020-09-08,1,NA,NA,NA,NA,NA,11,1,NA,4
ST201038,B,1,2020-09-08,NA,NA,1,NA,NA,NA,13,NA,NA,16
ST201039,A,1,2020-09-08,NA,NA,NA,NA,NA,NA,20,1,NA,7
ST201039,B,1,2020-09-08,NA,NA,NA,NA,NA,NA,18,NA,NA,14
ST201040,A,1,2020-09-08,NA,NA,1,NA,NA,NA,7,NA,NA,17
ST201040,B,1,2020-09-08,1,NA,NA,NA,NA,NA,9,NA,NA,13
ST201076,A,1,2020-09-14,NA,NA,NA,NA,NA,NA,6,NA,NA,7
ST201076,B,1,2020-09-14,2,NA,NA,NA,NA,NA,1,NA,NA,4
ST201077,A,1,2020-09-14,NA,NA,1,NA,NA,NA,4,NA,NA,5
ST201077,B,1,2020-09-14,NA,NA,1,NA,NA,NA,13,NA,NA,8
ST201078,A,1,2020-09-14,NA,NA,NA,NA,NA,NA,12,NA,NA,7
ST201078,B,1,2020-09-14,NA,1,NA,NA,NA,NA,8,NA,NA,10
ST201079,A,1,2020-09-14,NA,NA,NA,NA,NA,NA,9,1,NA,5
ST201079,B,1,2020-09-14,NA,NA,NA,NA,NA,NA,13,NA,NA,5
ST201080,A,1,2020-09-14,NA,NA,1,NA,NA,1,11,NA,NA,6
ST201080,B,1,2020-09-14,1,NA,NA,NA,NA,NA,8,2,NA,13
