"sample_id","side_or_trapnum","watershed","date","dipteran_large","terrestrial_large","caddisfly_large","mayfly_large","stonefly_large","other_large","dipteran_small","terrestrial_small","caddisfly_small","other_small"
NA,"10",1,2018-05-21,1,2,NA,NA,NA,1,37,NA,NA,NA
NA,"3",1,2018-05-21,1,NA,NA,NA,NA,NA,62,NA,NA,7
NA,"4",1,2018-05-21,3,NA,NA,NA,NA,NA,37,1,NA,6
NA,"9",1,2018-05-21,5,NA,NA,NA,NA,NA,31,NA,NA,5
NA,"1",1,2018-06-04,1,NA,NA,NA,NA,NA,19,1,NA,7
NA,"10",1,2018-06-04,NA,NA,NA,NA,NA,1,33,NA,NA,9
NA,"2",1,2018-06-04,1,NA,NA,NA,NA,2,16,3,NA,6
NA,"3",1,2018-06-04,NA,1,NA,NA,NA,2,41,7,NA,6
NA,"4",1,2018-06-04,NA,1,NA,NA,NA,4,36,5,NA,12
NA,"5",1,2018-06-04,NA,NA,NA,NA,NA,1,19,3,NA,8
NA,"6",1,2018-06-04,NA,1,NA,NA,NA,2,24,1,NA,6
NA,"7",1,2018-06-04,1,NA,NA,NA,1,1,11,1,NA,5
NA,"8",1,2018-06-04,NA,NA,NA,NA,NA,1,34,1,NA,5
NA,"9",1,2018-06-04,1,NA,NA,NA,NA,2,26,NA,NA,14
NA,"1",1,2018-06-11,1,NA,NA,NA,NA,NA,19,NA,NA,9
NA,"10",1,2018-06-11,NA,NA,NA,NA,NA,NA,24,2,NA,9
NA,"2",1,2018-06-11,NA,NA,NA,NA,NA,1,19,NA,NA,11
NA,"3",1,2018-06-11,NA,NA,NA,NA,NA,NA,19,3,NA,10
NA,"4",1,2018-06-11,NA,1,NA,NA,NA,1,29,1,NA,13
NA,"5",1,2018-06-11,2,1,NA,NA,NA,NA,27,3,NA,5
NA,"6",1,2018-06-11,3,NA,NA,NA,NA,NA,47,3,NA,14
NA,"7",1,2018-06-11,1,NA,NA,NA,NA,1,29,3,NA,13
NA,"8",1,2018-06-11,3,1,NA,NA,NA,NA,35,2,NA,14
NA,"9",1,2018-06-11,NA,1,NA,NA,NA,1,17,NA,NA,3
NA,"1",1,2018-06-18,NA,NA,NA,NA,NA,1,20,NA,NA,14
NA,"1",1,2018-07-02,NA,NA,NA,NA,NA,1,39,4,NA,15
NA,"2",1,2018-07-02,NA,1,NA,NA,NA,6,28,4,NA,12
NA,"5",1,2018-07-02,NA,1,NA,NA,NA,1,27,4,NA,1
NA,"6",1,2018-07-02,NA,NA,NA,NA,NA,2,26,1,NA,6
NA,"1",1,2018-07-09,1,1,NA,NA,NA,7,32,2,NA,15
NA,"10",1,2018-07-09,1,1,NA,NA,NA,2,20,3,NA,7
NA,"2",1,2018-07-09,2,1,NA,NA,NA,8,32,10,NA,25
NA,"3",1,2018-07-09,3,NA,NA,NA,NA,2,17,5,NA,10
NA,"4",1,2018-07-09,2,NA,NA,NA,NA,NA,18,2,NA,10
NA,"5",1,2018-07-09,NA,1,NA,NA,NA,2,16,4,NA,4
NA,"6",1,2018-07-09,NA,NA,NA,NA,NA,NA,19,14,NA,31
NA,"7",1,2018-07-09,NA,NA,NA,NA,NA,9,19,2,NA,15
