"refNo", "site", "date", "timeEST", "pH", "pHmetrohm", "DIC", "spCond", "temp", "ANC960", "ANCMet", "gageHt", "hydroGraph", "flowGageHt", "precipCatch", "fieldCode", "notes", "archived", "uniqueID", "waterYr", "datetime", "Ca", "Mg", "K", "Na", "TMAl", "OMAl", "Al_ICP", "NH4", "SO4", "NO3", "Cl", "PO4", "DOC", "TDN", "DON", "SiO2", "Mn", "Fe", "F", "cationCharge", "anionCharge", "theoryCond", "ionError", "duplicate", "sampleType", "ionBalance"
"52494","RG22","1969-06-01",\N,"4.0800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"999",\N,\N,"RG22_19690601","1969","6/1/69 0:00","0.2700","0.0400","0.3400","0.1400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52495","RG22","1969-06-10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690610","1969","6/10/69 0:00","0.2700","0.0400","0.3400","0.1400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52496","RG22","1969-06-16",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690616","1969","6/16/69 0:00","0.0050","0.0050","0.0050","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52497","RG22","1969-06-24",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690624","1969","6/24/69 0:00","0.1700","0.0300","0.1200","0.0050",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52498","RG22","1969-07-01",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690701","1969","7/1/69 0:00",\N,\N,"0.6500","0.1500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"-195.3000",\N,\N,\N,\N,\N
"52499","RG22","1969-07-08",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690708","1969","7/8/69 0:00","0.4200","0.0900","0.1100","0.0200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52500","RG22","1969-07-15",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690715","1969","7/15/69 0:00","0.1400","0.0200","0.0050","0.0300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52501","RG22","1969-07-23",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"970",\N,\N,"RG22_19690723","1969","7/23/69 0:00","1.6500","0.2400","0.4300","0.2700",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52502","RG22","1969-07-28",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690728","1969","7/28/69 0:00","0.3200","0.0400","0.0700","0.0800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52503","RG22","1969-08-04",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690804","1969","8/4/69 0:00","0.0800","0.0200","0.0050","0.0600",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52504","RG22","1969-08-11",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690811","1969","8/11/69 0:00","0.1800","0.0200","0.0050","0.0200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52505","RG22","1969-08-19",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690819","1969","8/19/69 0:00","0.1800","0.0300","0.0300","0.0200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52506","RG22","1969-08-25",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690825","1969","8/25/69 0:00",\N,\N,"0.0050","0.0050",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"-195.3000",\N,\N,\N,\N,\N
"52507","RG22","1969-09-11",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690911","1969","9/11/69 0:00","0.2200","0.0300","0.0400","0.0200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52508","RG22","1969-09-23",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690923","1969","9/23/69 0:00","0.2400","0.0500","0.0400","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52509","RG22","1969-09-30",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19690930","1969","9/30/69 0:00","0.6400","0.0800","0.0400","0.1400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"52510","RG22","1969-10-06",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"RG22_19691006","1969","10/6/69 0:00","0.0600","0.0400","0.4400","0.2100",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
