"refNo", "site", "date", "timeEST", "pH", "DIC", "spCond", "temp", "ANC960", "ANCMet", "gageHt", "hydroGraph", "flowGageHt", "precipCatch", "fieldCode", "notes", "uniqueID", "waterYr", "datetime", "Ca", "Mg", "K", "Na", "TMAl", "OMAl", "Al_ICP", "Al_ferron", "NH4", "SO4", "NO3", "Cl", "PO4", "DOC", "TDN", "DON", "SiO2", "Mn", "Fe", "F", "cationCharge", "anionCharge", "theoryCond", "ionError", "duplicate", "sampleType", "ionBalance", "canonical"
"25154","S","1963-07-10",\N,"4.2500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630710_NA","1963",\N,"0.3000","0.0700","0.1000","0.0700",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25167","S","1963-07-16",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630716_NA","1963",\N,"0.1900","0.0300","0.1000","0.0900",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25176","S","1963-07-24",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630724_NA","1963",\N,"0.3500","0.0400","0.1100","0.0800",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25182","S","1963-08-01",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630801_NA","1963",\N,"0.2900","0.1000","0.1600","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25191","S","1963-08-07",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630807_NA","1963",\N,"0.1400","0.0200","0.0600","0.0200",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25197","S","1963-08-14",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630814_NA","1963",\N,"0.1200","0.0300","0.0400","0.0400",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25211","S","1963-08-21",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630821_NA","1963",\N,"0.1400","0.0300","0.0900","0.0300",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25218","S","1963-08-28",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630828_NA","1963",\N,"0.5400","0.1200","0.0900","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25221","S","1963-08-30",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630830_NA","1963",\N,"0.1500","0.0600","0.1900","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
"25228","S","1963-09-04",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","S_19630904_NA","1963",\N,"0.1300","0.0400","0.1200","0.0500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"TRUE"
