"site","site_type","date","timeEST","barcode","bin","date_weighed","time_weighed","weight_g","bottle_type","notes","NO3_N","NH4_N","database_changes","pH","DIC","spCond","temp","ANC960","ANCMet","Ca","Mg","K","Na","TMAl","OMAl","Al_ICP","SO4","Cl","PO4","DOC","TDN","DON","SiO2","Mn","Fe","F"
RG1,precip gauge,1983-05-16,,29491,1.0305,2017-06-09,13:51:59,412.5,Nalgene500,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG1,precip gauge,1983-05-31,,29492,1.0305,2017-06-09,13:52:08,399.92,Nalgene500,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG1,precip gauge,1983-06-04,,29493,1.0305,2017-06-09,13:52:14,418.2,Nalgene500,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG1,precip gauge,1983-06-14,,29494,1.0305,2017-06-09,13:52:28,103.31,Nalgene500,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG1,precip gauge,1983-06-19,,29495,1.0305,2017-06-09,13:52:44,88.99,Nalgene500,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG1,precip gauge,1983-06-27,,29496,1.0305,2017-06-09,13:53:17,175.74,Nalgene500,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG1,precip gauge,1983-07-04,,29497,1.0305,2017-06-09,13:53:26,377.77,Nalgene500,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG1,precip gauge,1983-07-10,,29498,1.0305,2017-06-09,13:53:33,274.21,Nalgene500,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG1,precip gauge,1983-07-24,,29499,1.0305,2017-06-09,13:53:42,332.95,Nalgene500,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG1,precip gauge,1983-07-31,,29500,1.0305,2017-06-09,13:53:53,200.55,Nalgene500,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG1,precip gauge,1983-08-07,,29501,1.0305,2017-06-09,13:53:59,393.28,Nalgene500,,,,,,,,,,,,,,,,,,,,,,,,,,,
