site,year,SO4_NO3,base_cat
W6,1964,133.85066751142688,134.92157222601074
W6,1965,139.26323174758403,128.02587899647946
W6,1966,142.54885873919721,132.89791295343895
W6,1967,147.2962855701881,133.91382166498227
W6,1968,143.1493242521212,135.3998769433677
W6,1969,139.1161433958839,127.34600949371922
W6,1970,172.20365017109333,154.51837325100269
W6,1971,174.91224828646855,133.28728383379544
W6,1972,159.46748015368462,130.56559248279353
W6,1973,148.60499461019265,118.11386928979702
W6,1974,163.86078658587488,124.52608748646637
W6,1975,167.36172112115858,135.5917379083992
W6,1976,153.24236334236696,118.94868192566862
W6,1977,158.320316912254,117.68915291076472
W6,1978,127.30269897063171,104.58984708792053
W6,1979,126.5416429438627,108.22318892856107
W6,1980,143.08620146094768,122.70155132854367
W6,1981,131.46843631155198,109.41598797032498
W6,1982,125.74073088388056,99.11535496498472
W6,1983,116.67853959301152,97.41169929665917
W6,1984,104.94914212863293,89.31240911526957
W6,1985,117.99748639156307,105.1877070266327
W6,1986,108.1859124084327,94.3569636166267
W6,1987,111.53546226511777,99.69479288066512
W6,1988,119.28238306206782,115.38715878448838
W6,1989,120.98034144806869,111.41130970347541
W6,1990,116.69410781892728,96.09155516066517
W6,1991,113.09629441868533,96.30498554999092
W6,1992,105.39235909383916,92.59299467546674
W6,1993,99.31632834529866,87.432635032135
W6,1994,102.84548921249228,98.47410136864019
W6,1995,101.58719158781132,98.58683364024279
W6,1996,89.89990871336359,80.37078392965948
W6,1997,89.70815916063141,88.12644070578786
W6,1998,83.44291190994694,82.94027914373868
W6,1999,92.95030621578185,92.86449135585288
W6,2000,89.49769339859657,81.90016413436064
W6,2001,88.07328749395182,85.53627478266608
W6,2002,83.69031916953158,81.77249599859142
W6,2003,78.39283345456562,77.21173810183807
W6,2004,81.57356517135281,82.67420966062946
W6,2005,77.63482873422394,78.0441400239247
W6,2006,67.76816486554371,74.41075779955617
W6,2007,75.81340868321553,83.43883299807786
W6,2008,65.26294500850705,69.51410183532313
W6,2009,62.2529724839432,70.11344481178956
W6,2010,57.91795925628954,76.30693135642983
W6,2011,57.251311091970365,67.69928996803185
W6,2012,49.362057180487405,73.66610200473568
W6,2013,60.7488513825906,82.46740187185077
W6,2014,63.693051838298096,82.14526333341816
W6,2015,57.139048133306964,70.89883049154223
W6,2016,53.16540675951551,72.24012692411426
W6,2017,49.24575968966252,66.15350479418838
W6,2018,50.076612263610635,66.6117268897374
W6,2019,43.0738337729873,56.28634898788612
W6,2020,49.8853301790134,64.69194051035764
W6,2021,46.01732766949814,69.65096788885178
W6,2022,52.58740436152893,76.81707446818349
W6,2023,47.93990848589309,65.3622485695464
