site,waterYr,var,val,n,source
all,1969,SO4_NO3,89.0097125389913,4,Precipitation
all,1971,SO4_NO3,110.09231925533801,29,Precipitation
all,1972,SO4_NO3,70.62034888239722,32,Precipitation
all,1973,SO4_NO3,76.19453263021684,27,Precipitation
all,1974,SO4_NO3,95.44571848345052,30,Precipitation
all,1975,SO4_NO3,97.01001767880004,25,Precipitation
all,1976,SO4_NO3,56.11870729638201,17,Precipitation
all,1977,SO4_NO3,41.42486804911546,20,Precipitation
all,1978,SO4_NO3,64.63549773052075,21,Precipitation
all,1979,SO4_NO3,52.09529690354299,23,Precipitation
all,1980,SO4_NO3,95.93795056277672,35,Precipitation
all,1981,SO4_NO3,94.15259886987542,36,Precipitation
all,1982,SO4_NO3,69.249653477538,35,Precipitation
all,1983,SO4_NO3,63.86398190669157,38,Precipitation
all,1984,SO4_NO3,120.48061534950153,33,Precipitation
all,1985,SO4_NO3,35.47916483879457,32,Precipitation
all,1986,SO4_NO3,82.20018249040413,34,Precipitation
all,1987,SO4_NO3,58.229029220590085,34,Precipitation
all,1988,SO4_NO3,81.44373683797389,29,Precipitation
all,1989,SO4_NO3,83.70131415041233,36,Precipitation
all,1990,SO4_NO3,108.6917969753674,31,Precipitation
all,1991,SO4_NO3,54.889941669577745,35,Precipitation
all,1992,SO4_NO3,76.9033322578194,39,Precipitation
all,1993,SO4_NO3,95.47939111042403,44,Precipitation
all,1994,SO4_NO3,104.34004766924227,33,Precipitation
all,1995,SO4_NO3,78.626093237816,35,Precipitation
all,1996,SO4_NO3,52.65253499203386,42,Precipitation
all,1997,SO4_NO3,69.7434400959048,29,Precipitation
all,1998,SO4_NO3,49.46695220342879,36,Precipitation
all,1999,SO4_NO3,65.636708739751,33,Precipitation
all,2000,SO4_NO3,47.305751524706494,33,Precipitation
all,2001,SO4_NO3,71.59218600771115,38,Precipitation
all,2002,SO4_NO3,61.99871270358052,36,Precipitation
all,2003,SO4_NO3,50.16336563993491,33,Precipitation
all,2004,SO4_NO3,66.91436036672799,30,Precipitation
all,2005,SO4_NO3,55.79893229670308,37,Precipitation
all,2006,SO4_NO3,40.8118017133749,32,Precipitation
all,2007,SO4_NO3,60.46667177297009,34,Precipitation
all,2008,SO4_NO3,48.93088672859269,30,Precipitation
all,2009,SO4_NO3,14.191037936015345,34,Precipitation
all,2010,SO4_NO3,33.8104013379312,38,Precipitation
all,2011,SO4_NO3,34.95763583590532,35,Precipitation
all,2012,SO4_NO3,31.934814485380933,34,Precipitation
all,2013,SO4_NO3,27.778274387901174,40,Precipitation
all,2014,SO4_NO3,23.79091865304461,30,Precipitation
all,2015,SO4_NO3,20.43420076928189,38,Precipitation
all,2016,SO4_NO3,16.495049141945717,38,Precipitation
all,2017,SO4_NO3,27.49564738436113,30,Precipitation
all,2018,SO4_NO3,20.63730398958615,40,Precipitation
all,2019,SO4_NO3,17.724704926655136,40,Precipitation
all,2020,SO4_NO3,15.00959605230511,36,Precipitation
all,2021,SO4_NO3,16.048353029299303,34,Precipitation
all,2022,SO4_NO3,12.858980417558882,38,Precipitation
all,1969,base_cat,32.784156143465694,39,Precipitation
all,1970,base_cat,12.92943962396912,41,Precipitation
all,1971,base_cat,8.558009064716842,31,Precipitation
all,1972,base_cat,9.809565071891628,32,Precipitation
all,1973,base_cat,11.090118750177579,27,Precipitation
all,1974,base_cat,12.682432110486456,30,Precipitation
all,1975,base_cat,14.852925232879398,25,Precipitation
all,1976,base_cat,8.861906959036881,17,Precipitation
all,1977,base_cat,8.519217219993807,20,Precipitation
all,1978,base_cat,4.70133424129912,21,Precipitation
all,1979,base_cat,10.315380488738343,23,Precipitation
all,1980,base_cat,13.449005936129444,35,Precipitation
all,1981,base_cat,12.588244184978164,36,Precipitation
all,1982,base_cat,13.177044729060574,35,Precipitation
all,1983,base_cat,10.659509409397367,38,Precipitation
all,1984,base_cat,18.4292942124866,33,Precipitation
all,1985,base_cat,4.341926930752635,32,Precipitation
all,1986,base_cat,6.70247618088179,34,Precipitation
all,1987,base_cat,12.703907654267669,34,Precipitation
all,1988,base_cat,11.490175091557317,29,Precipitation
