site,waterYr,var,val,n,source
W6,1964,SO4,123.90846426928661,51,Streamwater
W6,1965,SO4,127.67282014853205,53,Streamwater
W6,1966,SO4,123.9856882637763,48,Streamwater
W6,1967,SO4,128.68732251379345,44,Streamwater
W6,1968,SO4,113.85579587368413,36,Streamwater
W6,1969,SO4,117.41440071850437,50,Streamwater
W6,1970,SO4,128.8364867786889,54,Streamwater
W6,1971,SO4,129.00113317507478,54,Streamwater
W6,1972,SO4,126.98581919642349,52,Streamwater
W6,1973,SO4,119.17319956849737,55,Streamwater
W6,1974,SO4,122.3795099354583,52,Streamwater
W6,1975,SO4,124.26419480215432,53,Streamwater
W6,1976,SO4,112.37252819407429,54,Streamwater
W6,1977,SO4,110.34159150154687,53,Streamwater
W6,1978,SO4,110.68055146614121,50,Streamwater
W6,1979,SO4,109.65654027513013,54,Streamwater
W6,1980,SO4,113.32302746103178,51,Streamwater
W6,1981,SO4,111.71533355584965,54,Streamwater
W6,1982,SO4,109.969138006598,54,Streamwater
W6,1983,SO4,100.46257087464242,57,Streamwater
W6,1984,SO4,107.02291132779646,53,Streamwater
W6,1985,SO4,94.57215569545049,52,Streamwater
W6,1986,SO4,87.72198630399986,54,Streamwater
W6,1987,SO4,99.74600079171336,53,Streamwater
W6,1988,SO4,105.33364632994694,57,Streamwater
W6,1989,SO4,95.9095640619082,57,Streamwater
W6,1990,SO4,96.14776144677856,55,Streamwater
W6,1991,SO4,99.22017762011359,54,Streamwater
W6,1992,SO4,92.10776196045653,58,Streamwater
W6,1993,SO4,99.58878853908523,58,Streamwater
W6,1994,SO4,98.29223826314964,57,Streamwater
W6,1995,SO4,83.97596215819704,62,Streamwater
W6,1996,SO4,82.34789722772392,72,Streamwater
W6,1997,SO4,84.98569287898506,76,Streamwater
W6,1998,SO4,74.45281474662846,77,Streamwater
W6,1999,SO4,77.18612885999559,86,Streamwater
W6,2000,SO4,80.4223594006104,73,Streamwater
W6,2001,SO4,79.89079827170846,53,Streamwater
W6,2002,SO4,82.75227647182018,55,Streamwater
W6,2003,SO4,73.98915802010616,62,Streamwater
W6,2004,SO4,77.17049197470058,57,Streamwater
W6,2005,SO4,68.38196529748622,55,Streamwater
W6,2006,SO4,66.7520547301816,55,Streamwater
W6,2007,SO4,70.95845777048554,58,Streamwater
W6,2008,SO4,62.48342103584262,57,Streamwater
W6,2009,SO4,60.54755738058229,56,Streamwater
W6,2010,SO4,52.91116311069398,56,Streamwater
W6,2011,SO4,54.304863257890496,52,Streamwater
W6,2012,SO4,46.07532040887187,58,Streamwater
W6,2013,SO4,44.734255584831615,91,Streamwater
W6,2014,SO4,44.96655123999047,82,Streamwater
W6,2015,SO4,47.24680738234497,66,Streamwater
W6,2016,SO4,49.14406939663659,51,Streamwater
W6,2017,SO4,50.944000421929395,52,Streamwater
W6,2018,SO4,40.16498176319454,54,Streamwater
W6,2019,SO4,45.920761233498155,52,Streamwater
W6,2020,SO4,45.13879839922286,51,Streamwater
W6,2021,SO4,40.944984295227385,54,Streamwater
W6,2022,SO4,41.04154596889101,52,Streamwater
W6,1964,Cl,15.847630945665848,51,Streamwater
W6,1965,Cl,15.474109624919148,53,Streamwater
W6,1966,Cl,14.848982810080212,48,Streamwater
W6,1967,Cl,15.44883240698264,44,Streamwater
W6,1968,Cl,16.1025825311385,36,Streamwater
W6,1969,Cl,12.929750275958781,50,Streamwater
W6,1970,Cl,15.0483720486309,54,Streamwater
W6,1971,Cl,13.018678095248411,54,Streamwater
W6,1972,Cl,16.972889608116642,52,Streamwater
W6,1973,Cl,11.189134021574326,55,Streamwater
W6,1974,Cl,18.06071455816083,52,Streamwater
W6,1975,Cl,10.989868833887018,53,Streamwater
W6,1976,Cl,11.234182406149127,54,Streamwater
W6,1977,Cl,10.95680718664303,53,Streamwater
W6,1978,Cl,14.727696020282659,50,Streamwater
W6,1979,Cl,15.773057475682743,54,Streamwater
W6,1980,Cl,21.282635022725213,51,Streamwater
W6,1981,Cl,11.76907370933825,54,Streamwater
W6,1982,Cl,13.166004778999683,54,Streamwater
W6,1983,Cl,12.175818081655379,57,Streamwater
W6,1984,Cl,14.07275656495508,53,Streamwater
W6,1985,Cl,10.331866090553866,52,Streamwater
W6,1986,Cl,11.007506893523368,54,Streamwater
W6,1987,Cl,13.151012975073515,53,Streamwater
W6,1988,Cl,14.949299064983625,57,Streamwater
W6,1989,Cl,12.344567840840593,57,Streamwater
W6,1990,Cl,11.423672412221988,55,Streamwater
W6,1991,Cl,10.510828533891814,54,Streamwater
W6,1992,Cl,10.702360742583823,58,Streamwater
W6,1993,Cl,13.810634454171822,58,Streamwater
W6,1994,Cl,12.814014424489468,57,Streamwater
W6,1995,Cl,17.575125096486186,62,Streamwater
W6,1996,Cl,13.120924130753544,72,Streamwater
W6,1997,Cl,10.607426492553738,76,Streamwater
W6,1998,Cl,10.064514480834543,77,Streamwater
W6,1999,Cl,11.83101776613834,86,Streamwater
W6,2000,Cl,9.191580679408089,73,Streamwater
W6,2001,Cl,12.018953043770205,53,Streamwater
W6,2002,Cl,11.980014244301781,55,Streamwater
W6,2003,Cl,13.038309478887944,62,Streamwater
W6,2004,Cl,11.615469631190829,57,Streamwater
W6,2005,Cl,10.997911985667868,55,Streamwater
W6,2006,Cl,10.429539080206027,55,Streamwater
W6,2007,Cl,10.524433114607387,58,Streamwater
W6,2008,Cl,7.028659363758043,57,Streamwater
W6,2009,Cl,9.997014866254974,56,Streamwater
W6,2010,Cl,10.82235935096109,56,Streamwater
W6,2011,Cl,8.59486721834305,52,Streamwater
W6,2012,Cl,11.223044234812058,58,Streamwater
W6,2013,Cl,10.14964599100834,91,Streamwater
W6,2014,Cl,14.124084459543923,82,Streamwater
W6,2015,Cl,11.486764373236607,66,Streamwater
W6,2016,Cl,11.24891220418773,51,Streamwater
W6,2017,Cl,13.185027278915051,52,Streamwater
W6,2018,Cl,10.107939624858837,54,Streamwater
W6,2019,Cl,9.319368558048827,52,Streamwater
W6,2020,Cl,14.289776985904393,51,Streamwater
W6,2021,Cl,14.755467289780084,54,Streamwater
W6,2022,Cl,13.029364413113814,52,Streamwater
W6,1964,NO3,16.618519930514285,51,Streamwater
W6,1965,NO3,15.589231099075532,53,Streamwater
W6,1966,NO3,19.247096617868873,48,Streamwater
W6,1967,NO3,20.52616440765849,44,Streamwater
W6,1968,NO3,28.222461003536072,36,Streamwater
W6,1969,NO3,33.95066735703735,50,Streamwater
W6,1970,NO3,46.23372496003406,54,Streamwater
W6,1971,NO3,36.0190371120544,54,Streamwater
W6,1972,NO3,27.62294699862463,52,Streamwater
W6,1973,NO3,34.05890691996157,55,Streamwater
W6,1974,NO3,50.38672802867793,52,Streamwater
W6,1975,NO3,32.66625329889046,53,Streamwater
W6,1976,NO3,45.07167556111781,54,Streamwater
W6,1977,NO3,16.97525582391291,53,Streamwater
W6,1978,NO3,15.99839330759602,50,Streamwater
W6,1979,NO3,26.166601962877696,54,Streamwater
W6,1980,NO3,32.65898270443172,51,Streamwater
W6,1981,NO3,10.295902778064962,54,Streamwater
W6,1982,NO3,15.044187897975878,54,Streamwater
W6,1983,NO3,3.591965501677631,57,Streamwater
W6,1984,NO3,13.520356217650571,53,Streamwater
W6,1985,NO3,12.939455425811664,52,Streamwater
W6,1986,NO3,26.372386226974072,54,Streamwater
W6,1987,NO3,10.766085655600838,53,Streamwater
W6,1988,NO3,19.341521607565223,57,Streamwater
W6,1989,NO3,32.79629868508524,57,Streamwater
W6,1990,NO3,11.958632430138833,55,Streamwater
W6,1991,NO3,8.989827598954585,54,Streamwater
W6,1992,NO3,6.347426622297101,58,Streamwater
W6,1993,NO3,2.828319129353577,58,Streamwater
W6,1994,NO3,6.401284408311304,57,Streamwater
W6,1995,NO3,9.437219332401058,62,Streamwater
W6,1996,NO3,3.5531051467596484,72,Streamwater
W6,1997,NO3,4.477546141658599,76,Streamwater
W6,1998,NO3,17.390684561602182,77,Streamwater
W6,1999,NO3,9.911412726426576,86,Streamwater
W6,2000,NO3,9.60994030564051,73,Streamwater
W6,2001,NO3,3.4092922176543787,53,Streamwater
W6,2002,NO3,3.3474800531135145,55,Streamwater
W6,2003,NO3,3.4744006239237435,62,Streamwater
W6,2004,NO3,2.4648323378116825,57,Streamwater
W6,2005,NO3,2.0797906780036453,55,Streamwater
W6,2006,NO3,4.502218438197059,55,Streamwater
W6,2007,NO3,2.752631062067169,58,Streamwater
W6,2008,NO3,1.4236836053912625,57,Streamwater
W6,2009,NO3,1.4868265898978414,56,Streamwater
W6,2010,NO3,2.6909419868250066,56,Streamwater
W6,2011,NO3,3.3802692707458384,52,Streamwater
