site,waterYr,var,val,n,source
all,1963,Ca,11.922844203802585,36,Precipitation
all,1964,Ca,15.886034341744484,40,Precipitation
all,1965,Ca,12.508985217133281,51,Precipitation
all,1966,Ca,17.90326369070386,45,Precipitation
all,1967,Ca,30.16307570967423,42,Precipitation
all,1968,Ca,37.019745213493884,36,Precipitation
all,1969,Ca,22.224351315017692,39,Precipitation
all,1970,Ca,5.402298526320718,41,Precipitation
all,1971,Ca,3.019236665468952,31,Precipitation
all,1972,Ca,3.637112154597424,32,Precipitation
all,1973,Ca,4.534345888897297,48,Precipitation
all,1974,Ca,4.1018398521723975,42,Precipitation
all,1975,Ca,3.4247593042998763,38,Precipitation
all,1976,Ca,2.4243587817632504,32,Precipitation
all,1977,Ca,3.2936611186388998,37,Precipitation
all,1978,Ca,3.318177978317731,41,Precipitation
all,1979,Ca,3.4584214970616522,45,Precipitation
all,1980,Ca,8.563329924049583,44,Precipitation
all,1981,Ca,5.929307351098821,43,Precipitation
all,1982,Ca,3.70490759619733,44,Precipitation
all,1983,Ca,4.026138252733762,42,Precipitation
all,1984,Ca,9.80347102556765,38,Precipitation
all,1985,Ca,2.0443437824358788,42,Precipitation
all,1986,Ca,3.5477461342901875,44,Precipitation
all,1987,Ca,4.2235395574786985,47,Precipitation
all,1988,Ca,6.357293478205802,40,Precipitation
all,1989,Ca,6.193503317616634,48,Precipitation
all,1990,Ca,5.546387905373946,43,Precipitation
all,1991,Ca,2.075018051096881,39,Precipitation
all,1992,Ca,4.35404084265961,42,Precipitation
all,1993,Ca,5.916133116357866,47,Precipitation
all,1994,Ca,3.581544461889708,41,Precipitation
all,1995,Ca,8.578751732955919,42,Precipitation
all,1996,Ca,2.2862271384271553,47,Precipitation
all,1997,Ca,4.709572522924722,40,Precipitation
all,1998,Ca,4.488605638315541,41,Precipitation
all,1999,Ca,6.999194798178738,43,Precipitation
all,2000,Ca,2.6066987365453884,41,Precipitation
all,2001,Ca,3.5245137557126025,43,Precipitation
all,2002,Ca,4.590349736211382,43,Precipitation
all,2003,Ca,4.8299472187165415,38,Precipitation
all,2004,Ca,3.0796062115268987,45,Precipitation
all,2005,Ca,5.054438014822007,48,Precipitation
all,2006,Ca,8.81213511433429,40,Precipitation
all,2007,Ca,3.541123336356632,40,Precipitation
all,2008,Ca,2.669595324690734,37,Precipitation
all,2009,Ca,2.2415539900942147,36,Precipitation
all,2010,Ca,8.680949842444683,43,Precipitation
all,2011,Ca,5.373992895086476,46,Precipitation
all,2012,Ca,4.600484598991015,36,Precipitation
all,2013,Ca,4.297272038788194,43,Precipitation
all,2014,Ca,5.195556080341245,41,Precipitation
all,2015,Ca,3.703508564785756,48,Precipitation
all,2016,Ca,3.247982598247293,46,Precipitation
all,2017,Ca,5.1863794578704665,40,Precipitation
all,2018,Ca,4.305697558825039,44,Precipitation
all,2019,Ca,6.876799518646515,45,Precipitation
all,2020,Ca,3.4626227110836023,41,Precipitation
all,2021,Ca,4.830041324627988,46,Precipitation
all,2022,Ca,3.799872631250541,44,Precipitation
all,1963,Na,3.0669713165435946,36,Precipitation
all,1964,Na,12.598590384206037,40,Precipitation
all,1965,Na,6.342100594508177,51,Precipitation
all,1966,Na,5.275037735090554,45,Precipitation
all,1967,Na,21.980733563227112,42,Precipitation
all,1968,Na,6.006691648030121,36,Precipitation
all,1969,Na,4.703137062628025,39,Precipitation
all,1970,Na,4.481873110031589,41,Precipitation
all,1971,Na,3.9149103203917637,31,Precipitation
all,1972,Na,4.033196745719506,32,Precipitation
all,1973,Na,2.5864197964226334,48,Precipitation
all,1974,Na,4.493096502990098,42,Precipitation
all,1975,Na,5.183856970056989,38,Precipitation
all,1976,Na,4.134747478022898,32,Precipitation
all,1977,Na,7.55663826107489,37,Precipitation
all,1978,Na,3.8150111661706076,41,Precipitation
all,1979,Na,7.495651831203733,45,Precipitation
all,1980,Na,5.553684190249329,44,Precipitation
all,1981,Na,3.7632495379785253,43,Precipitation
all,1982,Na,6.700895784477849,44,Precipitation
all,1983,Na,4.097854432829772,42,Precipitation
all,1984,Na,2.2560027637226225,38,Precipitation
all,1985,Na,2.5094410556618767,42,Precipitation
all,1986,Na,1.858151139191106,44,Precipitation
all,1987,Na,6.17399918225354,47,Precipitation
all,1988,Na,3.5478891770602496,40,Precipitation
all,1989,Na,5.009194019329283,48,Precipitation
all,1990,Na,7.834457172616239,43,Precipitation
