site,year,spCond,n,source
W3,1965,29.81607142857143,28,Streamwater
W3,1966,25.548,50,Streamwater
W3,1967,25.153191489361703,47,Streamwater
W3,1968,25.49736842105263,38,Streamwater
W3,1969,24.86973684210526,38,Streamwater
W3,1970,28.40377358490566,53,Streamwater
W3,1971,30.49230769230769,52,Streamwater
W3,1972,29.434615384615384,52,Streamwater
W3,1973,26.692452830188678,53,Streamwater
HBK,1974,23.376666666666665,15,Streamwater
W3,1974,25.131481481481483,54,Streamwater
HBK,1975,23.076666666666668,15,Streamwater
W3,1975,24.303846153846155,52,Streamwater
HBK,1976,23.49,10,Streamwater
W3,1976,24.077884615384615,52,Streamwater
W3,1977,23.569811320754717,53,Streamwater
HBK,1978,22.736363636363638,11,Streamwater
W3,1978,23.854444444444443,45,Streamwater
HBK,1979,22.091666666666665,12,Streamwater
W3,1979,22.357142857142858,49,Streamwater
HBK,1980,23.918181818181818,11,Streamwater
W3,1980,24.15625,48,Streamwater
HBK,1981,21.957142857142856,14,Streamwater
W3,1981,22.412962962962965,54,Streamwater
HBK,1982,21.385714285714286,14,Streamwater
W3,1982,21.13921568627451,51,Streamwater
HBK,1983,22.014285714285712,14,Streamwater
W3,1983,21.127659574468087,47,Streamwater
HBK,1984,21.06923076923077,13,Streamwater
W3,1984,20.907692307692308,52,Streamwater
HBK,1985,20.825,12,Streamwater
W3,1985,20.562,50,Streamwater
HBK,1986,19.316666666666666,12,Streamwater
W3,1986,19.159615384615385,52,Streamwater
HBK,1987,20.266666666666666,12,Streamwater
W3,1987,19.284615384615385,52,Streamwater
HBK,1988,21.8,12,Streamwater
W3,1988,20.620833333333334,48,Streamwater
HBK,1989,19.858333333333334,12,Streamwater
W3,1989,19.171153846153846,52,Streamwater
HBK,1990,17.271428571428572,14,Streamwater
W3,1990,18.513207547169813,53,Streamwater
HBK,1991,16.9,13,Streamwater
W3,1991,17.21923076923077,52,Streamwater
HBK,1992,16.166666666666668,12,Streamwater
W3,1992,16.41346153846154,52,Streamwater
HBK,1993,17.3,15,Streamwater
W3,1993,16.7921568627451,51,Streamwater
HBK,1994,16.6,13,Streamwater
W3,1994,16.126923076923077,52,Streamwater
HBK,1995,16.16923076923077,13,Streamwater
W3,1995,16.36078431372549,51,Streamwater
W9,1995,20.43225806451613,31,Streamwater
HBK,1996,15.507142857142858,14,Streamwater
W3,1996,15.472,50,Streamwater
W9,1996,20.69814814814815,54,Streamwater
HBK,1997,15.75,18,Streamwater
W3,1997,15.072222222222223,54,Streamwater
W9,1997,21.062962962962963,54,Streamwater
HBK,1998,14.611428571428572,35,Streamwater
W3,1998,14.78679245283019,53,Streamwater
W9,1998,20.930357142857144,56,Streamwater
HBK,1999,16.81086956521739,46,Streamwater
W3,1999,15.862264150943396,53,Streamwater
W9,1999,21.773737373737372,66,Streamwater
HBK,2000,14.511764705882353,17,Streamwater
W3,2000,15.45,52,Streamwater
W9,2000,20.646825396825395,63,Streamwater
HBK,2001,18.70769230769231,26,Streamwater
W3,2001,15.517391304347825,46,Streamwater
W9,2001,21.03203125,64,Streamwater
HBK,2002,16.482499999999998,20,Streamwater
W3,2002,15.191666666666666,48,Streamwater
W9,2002,23.0975,60,Streamwater
HBK,2003,14.928125,32,Streamwater
W3,2003,14.549019607843137,51,Streamwater
W9,2003,22.611940298507463,67,Streamwater
HBK,2004,14.429032258064517,31,Streamwater
W3,2004,13.896153846153846,52,Streamwater
W9,2004,19.48392857142857,56,Streamwater
HBK,2005,14.154545454545454,55,Streamwater
W3,2005,13.313461538461539,52,Streamwater
W9,2005,18.243396226415094,53,Streamwater
HBK,2006,13.676363636363636,55,Streamwater
W3,2006,12.988235294117647,51,Streamwater
W9,2006,18.67142857142857,56,Streamwater
HBK,2007,14.831666666666667,60,Streamwater
W3,2007,13.377358490566039,53,Streamwater
W9,2007,18.17222222222222,54,Streamwater
HBK,2008,12.601851851851851,54,Streamwater
