ws,yr,mo,dy,Ca,Mg,K,Na,NH4,pH,SO4,NO3,Cl,PO4,SiO2
70,1967,6,28,2.34,0.5,0.42,1.4,-3,5.8,-3,-3,-3,-3,-3
70,1967,7,16,2.22,0.5,0.47,1.34,-3,5.7,-3,-3,-3,-3,-3
70,1967,8,1,2.2,0.53,0.47,1.33,-3,5.5,-3,-3,-3,-3,-3
70,1967,8,13,2.16,0.52,0.46,1.39,-3,5.8,-3,-3,-3,-3,-3
70,1967,9,5,2.48,0.54,0.41,1.4,-3,6.4,-3,-3,-3,-3,-3
70,1967,10,16,2.24,0.56,0.48,1.4,-3,5.9,-3,-3,-3,-3,-3
70,1967,10,30,2.35,0.52,0.51,1.47,-3,5.3,-3,-3,-3,-3,-3
70,1968,1,18,2.25,0.6,0.52,1.27,-3,6,-3,-3,-3,-3,-3
70,1968,2,13,2.44,0.63,0.62,1.88,-3,5.7,-3,-3,-3,-3,-3
70,1968,3,18,2.22,0.56,0.52,1.5,0.005,5.7,6.4,0.53,0.96,0.01,3.5
70,1968,4,17,1.86,0.52,0.51,1.31,0.01,6.1,5.4,0.15,0.78,5e-4,2.9
70,1968,5,15,2.02,0.54,0.49,1.16,-3,6,-3,-3,-3,-3,-3
70,1968,6,5,1.8,0.5,0.52,1.34,-3,6,-3,-3,-3,-3,-3
70,1968,6,19,2.41,0.49,0.48,1.31,-3,5.8,-3,-3,-3,-3,-3
70,1968,7,10,1.87,0.5,0.41,1.32,0.04,6,5.8,0.11,0.86,0.01,2.7
70,1968,7,23,2.17,0.51,0.47,1.44,-3,5.7,-3,-3,-3,-3,-3
70,1968,8,6,1.66,0.52,0.52,1.39,-3,6.1,-3,-3,-3,-3,-3
70,1968,12,5,2.22,0.49,0.45,1.17,-3,5.6,-3,-3,-3,-3,-3
70,1969,1,15,3.36,0.55,0.46,1.42,-3,5.6,-3,-3,-3,-3,-3
70,1969,2,12,2.61,0.36,0.46,1.48,-3,5.5,-3,-3,-3,-3,-3
70,1969,3,11,2.42,0.51,0.47,1.42,-3,5.6,-3,-3,-3,-3,-3
70,1969,3,25,2.52,0.6,0.5,1.39,-3,5.5,-3,-3,-3,-3,-3
70,1969,4,11,2.18,0.48,0.36,1.15,-3,5.2,-3,-3,-3,-3,-3
70,1969,5,2,2.21,0.47,0.41,1.25,-3,5.8,-3,-3,-3,-3,-3
70,1969,5,19,2.1,0.48,0.39,1.28,-3,6,6.9,0.1,0.78,-3,3.4
70,1969,6,6,2,0.47,0.22,1.31,-3,6.1,6.4,0.09,0.75,-3,3.2
70,1969,6,16,2.2,0.46,0.23,1.19,-3,5.8,-3,-3,-3,-3,-3
70,1969,6,30,2.24,0.45,0.39,0.91,-3,6.08,-3,-3,-3,-3,-3
70,1969,8,11,2.1,0.47,0.43,1.2,-3,-3,-3,-3,-3,-3,-3
70,1969,8,25,2.26,0.47,0.38,1.18,-3,-3,-3,-3,-3,-3,-3
70,1969,9,12,2.25,0.47,0.4,1.25,-3,6,-3,-3,-3,-3,-3
70,1969,11,11,2.4,0.48,0.44,1.19,-3,5.8,-3,-3,-3,-3,-3
70,1969,11,18,2.47,0.48,0.45,1.22,-3,6,-3,-3,-3,-3,-3
70,1969,11,23,2.43,0.5,0.44,1.22,-3,5.8,-3,-3,-3,-3,-3
70,1969,11,25,2.47,0.5,0.44,1.25,-3,5.8,-3,-3,-3,-3,-3
70,1969,12,1,2.43,0.49,0.44,1.24,-3,5.8,-3,-3,-3,-3,-3
70,1969,12,8,2.55,0.49,0.47,1.3,-3,5.8,-3,-3,-3,-3,-3
70,1969,12,16,2.4,0.48,0.45,1.25,-3,5.6,-3,-3,-3,-3,-3
70,1969,12,22,2.55,0.51,0.42,1.24,-3,5.9,-3,-3,-3,-3,-3
70,1970,1,3,2.44,0.52,0.67,1.29,0.005,5.6,8.2,0.09,0.87,0.047,-3
70,1970,1,6,2.8,0.55,0.66,1.44,-3,5.7,-3,-3,-3,-3,-3
70,1970,1,13,2.75,0.54,0.57,1.42,-3,5.6,-3,-3,-3,-3,-3
70,1970,1,20,2.62,0.53,0.5,1.36,-3,5.7,-3,-3,-3,-3,-3
70,1970,1,25,2.74,0.56,0.54,1.37,0.005,5.9,7.88,0.08,0.82,0.033,3.5
70,1970,1,26,2.71,0.56,0.54,1.36,-3,5.9,-3,-3,-3,-3,-3
70,1970,2,5,2.72,0.55,0.59,1.44,-3,5.7,-3,-3,-3,-3,-3
70,1970,2,8,2.69,0.54,0.63,1.43,0.005,5.7,7.9,0.27,0.92,0.055,3.95
70,1970,2,10,2.69,0.55,0.66,1.38,-3,5.6,-3,-3,-3,-3,-3
70,1970,2,17,2.54,0.53,0.73,1.33,-3,5.6,-3,-3,-3,-3,-3
70,1970,2,21,2.44,0.52,0.6,1.26,0.005,5.6,4.79,0.23,0.87,0.014,4.95
70,1970,2,24,2.56,0.53,0.61,1.32,-3,5.8,-3,-3,-3,-3,-3
70,1970,3,2,2.63,0.54,0.61,1.21,-3,5.65,-3,-3,-3,-3,-3
70,1970,3,6,2.7,0.54,0.52,1.22,0.005,6.01,8.15,0.12,0.88,0.031,5.2
70,1970,3,10,2.62,0.51,0.47,1.21,-3,5.97,-3,-3,-3,-3,-3
70,1970,3,17,2.61,0.55,0.54,1.25,-3,6.16,-3,-3,-3,-3,-3
